Freq,Normalised Spectra,velocity,Vlsr,V_LSRK,fit_X,fit_Y,Power_corrected,Normalised Power,a,b,c,,Vlsr,,expected
1420.284,0.147028141,25.35,29.155,,-128.015,0.042399012,1.24E-01,1.28E-01,,,,,-283.38,0,0
1420.292,0.172965863,23.66,27.465,,-129.705,0.049483875,1.50E-01,1.54E-01,,,,,-282.35,0,0
1420.3,0.193123208,21.97,25.775,,-131.395,0.044096499,1.70E-01,1.75E-01,,,,,-281.32,0,0
1420.308,0.209627938,20.28,24.085,,-133.085,0.045303508,1.87E-01,1.91E-01,,,,,-280.29,0,0
1420.316,0.260015298,18.59,22.395,,-134.775,0.05009683,2.37E-01,2.43E-01,,,,,-279.26,0,0
1420.324,0.294644048,16.9,20.705,,-136.465,0.045500138,2.71E-01,2.78E-01,,,,,-278.23,0,0
1420.332,0.355024573,15.21,19.015,,-138.155,0.04539123,3.32E-01,3.40E-01,,,,,-277.2,0,0
1420.34,0.412096747,13.52,17.325,,-139.845,0.038955653,3.88E-01,3.98E-01,,,,,-276.17,0,0
1420.348,0.473445345,11.83,15.635,,-141.535,0.041868956,4.50E-01,4.61E-01,,,,,-275.14,0,0
1420.356,0.561901531,10.14,13.945,,-143.225,0.051105135,5.38E-01,5.52E-01,,,,,-274.11,0,0
1420.364,0.629847071,8.45,12.255,,-144.915,0.044638561,6.06E-01,6.21E-01,,,,,-273.08,0,0
1420.372,0.748188345,6.76,10.565,,-146.605,0.03884149,7.24E-01,7.42E-01,,,,,-272.05,0,0
1420.38,0.843047358,5.07,8.875,,-148.295,0.047438358,8.19E-01,8.40E-01,,,,,-271.02,0,0
1420.388,0.931479645,3.38,7.185,,-149.985,0.050045923,9.07E-01,9.30E-01,,,,,-269.99,0,0
1420.396,0.963883521,1.69,5.495,,-151.675,0.050080582,9.39E-01,9.63E-01,,,,,-268.96,0,0
1420.404,1,0,3.805,,-153.365,0.046988995,9.75E-01,1.00E+00,,,,,-267.93,0,0
1420.412,0.949068729,-1.69,2.115,,-155.055,0.054953317,9.24E-01,9.48E-01,,,,,-266.9,0,0
1420.42,0.931871186,-3.38,0.425,,-156.745,0.045830282,9.07E-01,9.30E-01,,,,,-265.87,0,0
1420.428,0.863514021,-5.07,-1.265,,-158.435,0.048401363,8.38E-01,8.60E-01,,,,,-264.84,0,0
1420.436,0.775084017,-6.76,-2.955,,-160.125,0.039490723,7.49E-01,7.69E-01,,,,,-263.81,0,0
1420.444,0.682608788,-8.45,-4.645,,-161.815,0.049576174,6.57E-01,6.74E-01,,,,,-262.77,0,0
1420.452,0.573622832,-10.14,-6.335,,-163.505,0.055866281,5.48E-01,5.62E-01,,,,,-261.74,0,0
1420.46,0.517344906,-11.83,-8.025,,-165.195,0.046853949,4.91E-01,5.04E-01,,,,,-260.71,0,0
1420.468,0.453908534,-13.52,-9.715,,-166.885,0.051383396,4.28E-01,4.39E-01,,,,,-259.68,0,0
1420.476,0.390030057,-15.21,-11.405,,-168.575,0.052050192,3.64E-01,3.73E-01,,,,,-258.65,0,0
1420.484,0.357315522,-16.9,-13.095,,-170.265,0.052503828,3.31E-01,3.39E-01,,,,,-257.62,0,0
1420.492,0.322721929,-18.59,-14.785,,-171.955,0.051416881,2.96E-01,3.03E-01,,,,,-256.59,0,0
1420.5,0.311056289,-20.28,-16.475,,-173.645,0.057939364,2.84E-01,2.91E-01,,,,,-255.56,0,0
1420.508,0.266592271,-21.97,-18.165,,,,2.39E-01,2.46E-01,,,,,-254.53,0,0
1420.516,0.253836739,-23.66,-19.855,,,,2.26E-01,2.32E-01,,,,,-253.5,0,0
1420.524,0.22802499,-25.35,-21.545,,,,2.00E-01,2.06E-01,,,,,-252.47,0,0
1420.532,0.196534877,-27.04,-23.235,,,,1.69E-01,1.73E-01,,,,,-251.44,0,0
1420.54,0.178336812,-28.73,-24.925,,,,1.50E-01,1.54E-01,,,,,-250.41,0,0
1420.548,0.159523326,-30.42,-26.615,,,,1.31E-01,1.35E-01,,,,,-249.38,0,0
1420.556,0.159120097,-32.11,-28.305,,,,1.31E-01,1.34E-01,,,,,-248.35,0,0
1420.564,0.137235715,-33.8,-29.995,,,,1.09E-01,1.12E-01,,,,,-247.32,0,0
1420.572,0.124850265,-35.49,-31.685,,,,9.62E-02,9.86E-02,,,,,-246.29,0,0
1420.58,0.118815009,-37.18,-33.375,,,,9.00E-02,9.23E-02,,,,,-245.26,0,0
1420.588,0.1065664,-38.87,-35.065,,,,7.75E-02,7.95E-02,,,,,-244.23,0,0
1420.596,0.106813383,-40.56,-36.755,,,,7.76E-02,7.96E-02,,,,,-243.2,0,0
1420.604,0.093248224,-42.25,-38.445,,,,6.38E-02,6.54E-02,,,,,-242.17,0,0
1420.612,0.088005597,-43.94,-40.135,,,,5.84E-02,5.99E-02,,,,,-241.13,0,0
1420.62,0.077389792,-45.63,-41.825,,,,4.76E-02,4.88E-02,,,,,-240.1,0,0
1420.628,0.061994384,-47.32,-43.515,,,,3.20E-02,3.28E-02,,,,,-239.07,0,0
1420.636,0.063371515,-49.01,-45.205,,,,3.31E-02,3.40E-02,,,,,-238.04,0,0
1420.644,0.060823874,-50.7,-46.895,,,,3.04E-02,3.12E-02,,,,,-237.01,0,0
1420.652,0.05701865,-52.39,-48.585,,,,2.64E-02,2.71E-02,,,,,-235.98,0,0
1420.66,0.05413425,-54.08,-50.275,,,,2.33E-02,2.39E-02,,,,,-234.95,0,0
1420.668,0.055312878,-55.77,-51.965,,,,2.43E-02,2.49E-02,,,,,-233.92,0,0
1420.676,0.058557692,-57.46,-53.655,,,,2.73E-02,2.80E-02,,,,,-232.89,0,0
1420.684,0.051936052,-59.15,-55.345,,,,2.05E-02,2.10E-02,,,,,-231.86,0,0
1420.692,0.045125433,-60.84,-57.035,,,,1.35E-02,1.38E-02,,,,,-230.83,0,0
1420.7,0.046275567,-62.53,-58.725,,,,1.44E-02,1.48E-02,,,,,-229.8,0,0
1420.708,0.040951515,-64.22,-60.415,,,,8.88E-03,9.11E-03,,,,,-228.77,0,0
1420.716,0.046549675,-65.91,-62.105,,,,1.43E-02,1.46E-02,,,,,-227.74,0,0
1420.724,0.046409053,-67.6,-63.795,,,,1.39E-02,1.43E-02,,,,,-226.71,0,0
1420.732,0.041623436,-69.29,-65.485,,,,8.92E-03,9.15E-03,,,,,-225.68,0,0
1420.74,0.043681359,-70.98,-67.175,,,,1.08E-02,1.10E-02,,,,,-224.65,0.01,0.0001558360605
1420.748,0.040845882,-72.67,-68.865,,,,7.71E-03,7.91E-03,,,,,-223.62,0.01,0.0001558360605
1420.756,0.045477505,-74.36,-70.555,,,,1.21E-02,1.24E-02,,,,,-222.59,0.01,0.0001558360605
1420.764,0.043234081,-76.05,-72.245,,,,9.67E-03,9.91E-03,,,,,-221.56,0.01,0.0001558360605
1420.772,0.036091995,-77.74,-73.935,,,,2.31E-03,2.36E-03,,,,,-220.52,0.01,0.0001558360605
1420.78,0.0413671,-79.43,-75.625,,,,7.36E-03,7.55E-03,,,,,-219.49,0.01,0.0001558360605
1420.788,0.033959416,-81.12,-77.315,,,,-2.68E-04,-2.74E-04,,,,,-218.46,0.01,0.0001558360605
1420.796,0.041259583,-82.81,-79.005,,,,6.81E-03,6.98E-03,,,,,-217.43,0.01,0.0001558360605
1420.804,0.037497071,-84.5,-80.695,,,,2.83E-03,2.90E-03,,,,,-216.4,0.01,0.0001558360605
1420.812,0.036374638,-86.19,-82.385,,,,1.48E-03,1.52E-03,,,,,-215.37,0.01,0.0001558360605
1420.82,0.044382068,-87.88,-84.075,,,,9.26E-03,9.50E-03,,,,,-214.34,0.02,0.0003116721209
1420.828,0.038435089,-89.57,-85.765,,,,3.09E-03,3.17E-03,,,,,-213.31,0.02,0.0003116721209
1420.836,0.041709457,-91.26,-87.455,,,,6.13E-03,6.29E-03,,,,,-212.28,0.02,0.0003116721209
1420.844,0.039610793,-92.95,-89.145,,,,3.81E-03,3.90E-03,,,,,-211.25,0.02,0.0003116721209
1420.852,0.043456224,-94.64,-90.835,,,,7.42E-03,7.61E-03,,,,,-210.22,0.02,0.0003116721209
1420.86,0.040202573,-96.33,-92.525,,,,3.94E-03,4.04E-03,,,,,-209.19,0.02,0.0003116721209
1420.868,0.036086273,-98.02,-94.215,,,,-4.11E-04,-4.21E-04,,,,,-208.16,0.02,0.0003116721209
1420.876,0.041216512,-99.71,-95.905,,,,4.49E-03,4.60E-03,,,,,-207.13,0.03,0.0004675081814
1420.884,0.048503671,-101.4,-97.595,,,,1.15E-02,1.18E-02,,,,,-206.1,0.03,0.0004675081814
1420.892,0.038901324,-103.09,-99.285,,,,1.70E-03,1.74E-03,,,,,-205.07,0.03,0.0004675081814
1420.9,0.030866181,-104.78,-100.975,,,,-6.57E-03,-6.74E-03,,,,,-204.04,0.03,0.0004675081814
1420.908,0.041613806,-106.47,-102.665,,,,3.94E-03,4.04E-03,,,,,-203.01,0.04,0.0006233442419
1420.916,0.036784452,-108.16,-104.355,,,,-1.13E-03,-1.16E-03,,,,,-201.98,0.04,0.0006233442419
1420.924,0.051362238,-109.85,-106.045,,,,1.32E-02,1.35E-02,,,,,-200.95,0.04,0.0006233442419
1420.932,0.03737089,-111.54,-107.735,,,,-1.02E-03,-1.05E-03,,,,,-199.92,0.04,0.0006233442419
1420.94,0.034945898,-113.23,-109.425,,,,-3.69E-03,-3.79E-03,,,,,-198.88,0.04,0.0006233442419
1420.948,0.039638028,-114.92,-111.115,,,,7.57E-04,7.77E-04,,,,,-197.85,0.04,0.0006233442419
1420.956,0.033340802,-116.61,-112.805,,,,-5.78E-03,-5.93E-03,,,,,-196.82,0.05,0.0007791803023
1420.964,0.041537142,-118.3,-114.495,,,,2.17E-03,2.22E-03,,,,,-195.79,0.05,0.0007791803023
1420.972,0.045738968,-119.99,-116.185,,,,6.12E-03,6.28E-03,,,,,-194.76,0.05,0.0007791803023
1420.98,0.045359952,-121.68,-117.875,,,,5.49E-03,5.63E-03,,,,,-193.73,0.05,0.0007791803023
1420.988,0.031049562,-123.37,-119.565,,,,-9.07E-03,-9.30E-03,,,,,-192.7,0.05,0.0007791803023
1420.996,0.040883828,-125.06,-121.255,,,,5.18E-04,5.31E-04,,,,,-191.67,0.05,0.0007791803023
1421.004,0.039787341,-126.75,-122.945,,,,-8.30E-04,-8.51E-04,,,,,-190.64,0.05,0.0007791803023
1421.012,0.04240253,-128.44,-124.635,,,,1.53E-03,1.57E-03,,,,,-189.61,0.05,0.0007791803023
1421.02,0.043533747,-130.13,-126.325,,,,2.41E-03,2.47E-03,,,,,-188.58,0.05,0.0007791803023
1421.028,0.042399012,-131.82,-128.015,,,,1.02E-03,1.05E-03,,,,,-187.55,0.05,0.0007791803023
1421.036,0.049483875,-133.51,-129.705,,,,7.85E-03,8.05E-03,,,,,-186.52,0.05,0.0007791803023
1421.044,0.044096499,-135.2,-131.395,,,,2.20E-03,2.26E-03,,,,,-185.49,0.05,0.0007791803023
1421.052,0.045303508,-136.89,-133.085,,,,3.15E-03,3.23E-03,,,,,-184.46,0.05,0.0007791803023
1421.06,0.05009683,-138.58,-134.775,,,,7.69E-03,7.88E-03,,,,,-183.43,0.05,0.0007791803023
1421.068,0.045500138,-140.27,-136.465,,,,2.83E-03,2.90E-03,,,,,-182.4,0.05,0.0007791803023
1421.076,0.04539123,-141.96,-138.155,,,,2.46E-03,2.52E-03,,,,,-181.37,0.05,0.0007791803023
1421.084,0.038955653,-143.65,-139.845,,,,-4.24E-03,-4.35E-03,,,,,-180.34,0.05,0.0007791803023
1421.092,0.041868956,-145.34,-141.535,,,,-1.59E-03,-1.63E-03,,,,,-179.31,0.05,0.0007791803023
1421.1,0.051105135,-147.03,-143.225,,,,7.38E-03,7.57E-03,,,,,-178.27,0.05,0.0007791803023
1421.108,0.044638561,-148.72,-144.915,,,,6.47E-04,6.64E-04,,,,,-177.24,0.05,0.0007791803023
1421.116,0.03884149,-150.41,-146.605,,,,-5.42E-03,-5.56E-03,,,,,-176.21,0.05,0.0007791803023
1421.124,0.047438358,-152.1,-148.295,,,,2.91E-03,2.98E-03,,,,,-175.18,0.05,0.0007791803023
1421.132,0.050045923,-153.79,-149.985,,,,5.25E-03,5.38E-03,,,,,-174.15,0.04,0.0006233442419
1421.14,0.050080582,-155.48,-151.675,,,,5.01E-03,5.14E-03,,,,,-173.12,0.04,0.0006233442419
1421.148,0.046988995,-157.17,-153.365,,,,1.65E-03,1.69E-03,,,,,-172.09,0.04,0.0006233442419
1421.156,0.054953317,-158.86,-155.055,,,,9.34E-03,9.58E-03,,,,,-171.06,0.04,0.0006233442419
1421.164,0.045830282,-160.55,-156.745,,,,-5.80E-05,-5.95E-05,,,,,-170.03,0.04,0.0006233442419
1421.172,0.048401363,-162.24,-158.435,,,,2.24E-03,2.29E-03,,,,,-169,0.04,0.0006233442419
1421.18,0.039490723,-163.93,-160.125,,,,-6.95E-03,-7.13E-03,,,,,-167.97,0.03,0.0004675081814
