Velocity,23.0 deg,10.0 deg
km/s, K, K
  299.0, 0.00, 0.00
  300.3, 0.00, 0.00
  301.5, 0.00, 0.00
  302.8, 0.00, 0.00
  304.1, 0.00, 0.00
  305.4, 0.00,-0.00
  306.7, 0.00,-0.00
  308.0, 0.00,-0.00
  309.3, 0.00, 0.00
  310.6, 0.00,-0.00
  311.8, 0.00,-0.00
  313.1, 0.00, 0.01
  314.4, 0.00, 0.00
  315.7, 0.00, 0.00
  317.0, 0.00, 0.00
  318.3, 0.00, 0.00
  319.6, 0.00, 0.00
  320.9, 0.00, 0.00
  322.2, 0.00, 0.00
  323.4, 0.00, 0.00
  324.7, 0.00, 0.00
  326.0, 0.00, 0.00
  327.3, 0.00, 0.00
  328.6, 0.00, 0.00
  329.9, 0.00, 0.00
  331.2, 0.00, 0.00
  332.5, 0.00, 0.00
  333.7, 0.00, 0.01
  335.0, 0.00, 0.00
  336.3, 0.00, 0.00
  337.6, 0.00, 0.00
  338.9, 0.00, 0.00
  340.2, 0.00,-0.00
  341.5, 0.00, 0.00
  342.8, 0.00, 0.00
  344.1, 0.00, 0.00
  345.3,-0.00,-0.00
  346.6, 0.00, 0.00
  347.9, 0.00, 0.00
  349.2,-0.00, 0.00
  350.5,-0.00,-0.00
  351.8,-0.00,-0.00
  353.1,-0.00,-0.00
  354.4, 0.00, 0.00
  355.6, 0.00, 0.00
  356.9,-0.00,-0.00
  358.2, 0.00,-0.00
  359.5, 0.00, 0.00
  360.8, 0.00,-0.00
  362.1, 0.00, 0.00
  363.4, 0.00, 0.00
  364.7, 0.00, 0.00
  366.0, 0.00, 0.00
  367.2, 0.00, 0.00
  368.5, 0.00, 0.00
  369.8, 0.00, 0.00
  371.1, 0.00,-0.00
  372.4, 0.00, 0.00
  373.7, 0.00, 0.00
  375.0, 0.00, 0.00
  376.3, 0.00, 0.00
  377.5, 0.00, 0.00
  378.8, 0.00, 0.00
  380.1, 0.00, 0.00
  381.4, 0.00,-0.00
  382.7, 0.00,-0.00
  384.0, 0.00,-0.00
  385.3, 0.00,-0.00
  386.6, 0.00,-0.00
  387.9, 0.00, 0.00
  389.1, 0.00,-0.00
  390.4, 0.00, 0.00
  391.7, 0.00, 0.00
  393.0, 0.00,-0.00
  394.3, 0.00,-0.00
  395.6, 0.00, 0.00
  396.9, 0.00, 0.00
  398.2, 0.00, 0.00
  399.4, 0.00, 0.00
  400.7, 0.00, 0.00
  402.0, 0.00, 0.00
  403.3, 0.00, 0.00
  404.6, 0.00, 0.00
  405.9, 0.00, 0.00
  407.2, 0.00, 0.01
  408.5, 0.00, 0.01
  409.8, 0.00, 0.00
  411.0, 0.00, 0.00
  412.3, 0.00, 0.00
  413.6, 0.00, 0.00
