Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
320,-187.98,    0.0042,    0.1885
321,-186.69,    0.0048,    0.1888
322,-185.40,    0.0045,    0.1865
323,-184.11,    0.0048,    0.1746
324,-182.83,    0.0050,    0.1693
325,-181.54,    0.0045,    0.1635
326,-180.25,    0.0061,    0.1466
327,-178.96,    0.0056,    0.1352
328,-177.67,    0.0053,    0.1293
329,-176.38,    0.0056,    0.1197
330,-175.10,    0.0064,    0.1166
331,-173.81,    0.0080,    0.1118
332,-172.52,    0.0075,    0.1126
333,-171.23,    0.0072,    0.1096
334,-169.94,    0.0079,    0.1062
335,-168.66,    0.0084,    0.1064
336,-167.37,    0.0083,    0.1028
337,-166.08,    0.0092,    0.1015
338,-164.79,    0.0089,    0.1041
339,-163.50,    0.0098,    0.1092
340,-162.21,    0.0097,    0.1090
341,-160.93,    0.0091,    0.1083
342,-159.64,    0.0102,    0.1096
343,-158.35,    0.0106,    0.1112
344,-157.06,    0.0108,    0.1148
345,-155.77,    0.0111,    0.1187
346,-154.48,    0.0107,    0.1251
347,-153.20,    0.0116,    0.1271
348,-151.91,    0.0117,    0.1347
349,-150.62,    0.0114,    0.1368
350,-149.33,    0.0122,    0.1376
351,-148.04,    0.0130,    0.1424
352,-146.76,    0.0132,    0.1477
353,-145.47,    0.0139,    0.1606
354,-144.18,    0.0142,    0.1633
355,-142.89,    0.0145,    0.1681
356,-141.60,    0.0150,    0.1775
357,-140.31,    0.0158,    0.1856
358,-139.03,    0.0162,    0.2046
359,-137.74,    0.0168,    0.2192
360,-136.45,    0.0179,    0.2374
361,-135.16,    0.0191,    0.2489
362,-133.87,    0.0197,    0.2665
363,-132.59,    0.0205,    0.2928
364,-131.30,    0.0216,    0.3048
365,-130.01,    0.0222,    0.3223
366,-128.72,    0.0238,    0.3421
367,-127.43,    0.0244,    0.3705
368,-126.14,    0.0254,    0.4256
369,-124.86,    0.0274,    0.4373
370,-123.57,    0.0274,    0.4610
371,-122.28,    0.0287,    0.5308
372,-120.99,    0.0297,    0.5933
373,-119.70,    0.0299,    0.6570
374,-118.41,    0.0318,    0.7314
375,-117.13,    0.0323,    0.8295
